Metric,Filename,Epoch 47,Epoch 47,Epoch 95,Epoch 95,Epoch 142,Epoch 142,Epoch 190,Epoch 190,Epoch 238,Epoch 238,Epoch 285,Epoch 285,Epoch last,Epoch last
,,edge,no edge,edge,no edge,edge,no edge,edge,no edge,edge,no edge,edge,no edge,edge,no edge
PSNR,Average,23.81,23.78,24.27,24.33,15.65,15.69,24.28,24.36,23.49,23.58,24.28,24.35,24.28,24.35
,0801.png,27.22,27.17,27.66,27.73,16.40,16.45,27.46,27.59,25.94,26.09,27.08,27.20,27.08,27.20
,0802.png,29.15,29.18,29.19,29.28,16.22,16.29,29.38,29.50,28.58,28.73,29.74,29.85,29.74,29.85
,0803.png,27.35,27.32,28.24,28.39,15.64,15.69,28.15,28.31,26.42,26.61,28.00,28.14,28.00,28.14
,0804.png,21.32,21.29,21.47,21.45,15.77,15.81,21.46,21.44,21.08,21.12,21.38,21.39,21.38,21.39
,0805.png,20.63,20.58,20.81,20.84,15.06,15.07,20.84,20.88,20.22,20.26,20.73,20.76,20.73,20.76
,0806.png,19.41,19.41,19.47,19.46,15.49,15.52,19.45,19.44,19.51,19.53,19.62,19.62,19.62,19.62
,0807.png,17.22,17.19,17.39,17.38,14.35,14.36,17.38,17.38,17.61,17.59,17.59,17.60,17.59,17.60
,0808.png,27.08,26.98,27.87,27.90,17.37,17.41,28.28,28.30,27.32,27.42,28.22,28.26,28.22,28.26
,0809.png,25.76,25.75,27.02,27.23,15.21,15.22,26.97,27.24,25.11,25.28,26.80,26.98,26.80,26.98
,0810.png,22.94,22.95,23.58,23.62,15.01,15.06,23.47,23.52,23.09,23.16,23.62,23.66,23.62,23.66

SSIM,Average,0.69,0.69,0.69,0.69,0.40,0.41,0.70,0.70,0.68,0.69,0.70,0.70,0.70,0.70
,0801.png,0.85,0.85,0.86,0.86,0.53,0.54,0.86,0.86,0.84,0.85,0.86,0.86,0.86,0.86
,0802.png,0.73,0.73,0.73,0.73,0.29,0.30,0.75,0.75,0.74,0.74,0.77,0.78,0.77,0.78
,0803.png,0.88,0.88,0.90,0.90,0.37,0.38,0.90,0.90,0.88,0.88,0.89,0.90,0.89,0.90
,0804.png,0.70,0.70,0.70,0.71,0.49,0.49,0.71,0.71,0.69,0.69,0.70,0.70,0.70,0.70
,0805.png,0.54,0.54,0.54,0.54,0.41,0.41,0.54,0.54,0.53,0.53,0.54,0.54,0.54,0.54
,0806.png,0.61,0.61,0.61,0.61,0.40,0.40,0.61,0.61,0.60,0.61,0.61,0.62,0.61,0.62
,0807.png,0.33,0.33,0.34,0.34,0.22,0.22,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34
,0808.png,0.79,0.78,0.79,0.79,0.56,0.56,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79
,0809.png,0.68,0.68,0.70,0.70,0.42,0.42,0.70,0.70,0.68,0.68,0.70,0.70,0.70,0.70
,0810.png,0.75,0.75,0.76,0.76,0.33,0.34,0.76,0.77,0.75,0.75,0.76,0.77,0.76,0.77

LPIPS,Average,0.34,0.34,0.34,0.34,0.71,0.71,0.35,0.34,0.38,0.38,0.35,0.35,0.35,0.35
,0801.png,0.18,0.18,0.18,0.18,0.55,0.55,0.19,0.19,0.22,0.22,0.19,0.19,0.19,0.19
,0802.png,0.12,0.12,0.14,0.14,0.60,0.60,0.15,0.15,0.17,0.17,0.15,0.15,0.15,0.15
,0803.png,0.17,0.17,0.15,0.15,0.75,0.75,0.16,0.15,0.21,0.21,0.16,0.16,0.16,0.16
,0804.png,0.33,0.33,0.33,0.33,0.65,0.65,0.34,0.34,0.40,0.39,0.36,0.36,0.36,0.36
,0805.png,0.53,0.53,0.54,0.54,0.74,0.74,0.55,0.55,0.57,0.57,0.55,0.55,0.55,0.55
,0806.png,0.41,0.41,0.43,0.42,0.66,0.66,0.43,0.43,0.45,0.45,0.43,0.43,0.43,0.43
,0807.png,0.64,0.64,0.65,0.64,0.82,0.82,0.65,0.65,0.66,0.66,0.64,0.64,0.64,0.64
,0808.png,0.26,0.26,0.28,0.28,0.73,0.73,0.28,0.28,0.31,0.31,0.27,0.27,0.27,0.27
,0809.png,0.39,0.39,0.37,0.37,0.65,0.64,0.40,0.39,0.43,0.43,0.40,0.39,0.40,0.39
,0810.png,0.32,0.33,0.32,0.31,0.94,0.94,0.33,0.32,0.40,0.39,0.33,0.33,0.33,0.33
