Metric,Filename,Epoch 47,Epoch 47,Epoch 95,Epoch 95,Epoch 142,Epoch 142,Epoch 190,Epoch 190,Epoch last,Epoch last
,,edge,no edge,edge,no edge,edge,no edge,edge,no edge,edge,no edge
PSNR,Average,23.82,23.81,24.17,24.19,22.24,22.30,24.09,24.08,24.09,24.08
,0801.png,26.64,26.64,26.11,26.13,24.69,24.76,26.12,26.19,26.12,26.19
,0802.png,27.34,27.34,27.91,28.02,25.47,25.74,28.13,28.24,28.13,28.24
,0803.png,27.70,27.74,27.76,27.76,24.47,24.69,27.84,27.90,27.84,27.90
,0804.png,21.36,21.35,21.64,21.66,20.74,20.63,21.76,21.76,21.76,21.76
,0805.png,21.01,21.01,21.00,21.00,19.98,19.97,20.78,20.76,20.78,20.76
,0806.png,18.81,18.80,19.39,19.39,18.70,18.70,19.53,19.54,19.53,19.54
,0807.png,17.12,17.10,17.69,17.70,17.14,17.10,17.71,17.69,17.71,17.69
,0808.png,26.95,26.89,28.14,28.19,25.49,25.50,27.78,27.68,27.78,27.68
,0809.png,27.98,28.00,27.93,27.94,23.56,23.66,27.11,26.89,27.11,26.89
,0810.png,23.24,23.25,24.16,24.16,22.20,22.26,24.13,24.10,24.13,24.10

SSIM,Average,0.67,0.67,0.67,0.67,0.65,0.65,0.68,0.68,0.68,0.68
,0801.png,0.83,0.83,0.82,0.82,0.81,0.81,0.83,0.83,0.83,0.83
,0802.png,0.67,0.67,0.69,0.69,0.63,0.64,0.70,0.70,0.70,0.70
,0803.png,0.88,0.88,0.89,0.89,0.83,0.83,0.89,0.89,0.89,0.89
,0804.png,0.69,0.69,0.68,0.68,0.68,0.68,0.69,0.69,0.69,0.69
,0805.png,0.54,0.54,0.52,0.52,0.52,0.52,0.51,0.51,0.51,0.51
,0806.png,0.57,0.57,0.59,0.59,0.57,0.57,0.59,0.60,0.59,0.60
,0807.png,0.31,0.31,0.32,0.32,0.31,0.31,0.33,0.33,0.33,0.33
,0808.png,0.78,0.78,0.79,0.79,0.77,0.77,0.79,0.79,0.79,0.79
,0809.png,0.70,0.70,0.69,0.69,0.66,0.66,0.68,0.68,0.68,0.68
,0810.png,0.75,0.75,0.76,0.76,0.73,0.73,0.76,0.76,0.76,0.76

LPIPS,Average,0.34,0.34,0.35,0.35,0.43,0.43,0.36,0.36,0.36,0.36
,0801.png,0.20,0.20,0.22,0.22,0.26,0.25,0.23,0.23,0.23,0.23
,0802.png,0.13,0.13,0.14,0.15,0.19,0.18,0.15,0.16,0.15,0.16
,0803.png,0.16,0.16,0.17,0.17,0.30,0.29,0.17,0.17,0.17,0.17
,0804.png,0.37,0.37,0.39,0.38,0.41,0.41,0.38,0.37,0.38,0.37
,0805.png,0.52,0.52,0.53,0.53,0.60,0.60,0.56,0.56,0.56,0.56
,0806.png,0.45,0.45,0.46,0.46,0.49,0.49,0.45,0.45,0.45,0.45
,0807.png,0.67,0.67,0.67,0.67,0.71,0.71,0.65,0.66,0.65,0.66
,0808.png,0.29,0.29,0.29,0.29,0.34,0.35,0.29,0.29,0.29,0.29
,0809.png,0.32,0.32,0.36,0.36,0.47,0.46,0.39,0.40,0.39,0.40
,0810.png,0.31,0.31,0.29,0.29,0.50,0.50,0.30,0.31,0.30,0.31
